date,series 1,series 2,series 3
01/1/1967,46.30,46.7,35.2
02/1/1967,45.90,46.5,33.7
03/1/1967,45.60,46.3,32.2
04/1/1967,45.20,46.0,30.8
05/1/1967,45.00,45.7,31.0
06/1/1967,44.20,45.5,31.0
07/1/1967,44.20,45.4,31.1
08/1/1967,43.90,45.3,30.4
09/1/1967,43.70,45.1,30.2
10/1/1967,43.40,45.0,29.7
11/1/1967,43.00,44.8,29.6
12/1/1967,42.70,44.6,29.4
01/1/1968,42.50,44.6,29.3
02/1/1968,42.40,44.4,29.3
03/1/1968,42.20,44.4,29.1
04/1/1968,42.10,44.3,29.0
05/1/1968,41.90,44.3,28.4
06/1/1968,41.80,44.1,28.0
07/1/1968,41.70,44.0,27.8
08/1/1968,41.60,43.9,28.0
09/1/1968,41.50,43.8,27.8
10/1/1968,41.40,43.6,28.1
11/1/1968,41.40,43.6,28.1
12/1/1968,41.20,43.5,28.3
01/1/1969,41.10,43.3,28.5
02/1/1969,41.00,43.2,28.4
03/1/1969,40.90,43.1,28.7
04/1/1969,40.80,43.0,28.6
05/1/1969,40.70,43.0,28.4
06/1/1969,40.60,42.9,27.3
07/1/1969,40.50,42.8,27.7
08/1/1969,40.30,42.6,27.5
09/1/1969,40.10,42.4,27.5
10/1/1969,40.00,42.2,27.9
11/1/1969,39.90,42.2,28.2
12/1/1969,39.90,42.1,28.5
01/1/1970,39.80,42.0,28.4
02/1/1970,39.60,41.8,28.2
03/1/1970,39.40,41.5,28.1
04/1/1970,39.20,41.3,27.7
05/1/1970,39.00,41.1,27.5
06/1/1970,38.90,40.9,28.0
07/1/1970,38.80,40.8,27.8
08/1/1970,38.60,40.5,28.1
09/1/1970,38.50,40.4,28.3
10/1/1970,38.30,40.1,27.2
11/1/1970,38.10,39.8,27.8
12/1/1970,37.90,39.6,27.6
01/1/1971,37.70,39.4,27.7
02/1/1971,37.50,39.2,27.5
03/1/1971,37.30,39.1,27.8
04/1/1971,37.10,38.9,27.7
05/1/1971,36.90,38.7,27.8
06/1/1971,36.80,38.5,27.8
07/1/1971,36.60,38.3,28.0
08/1/1971,36.40,38.1,27.8
09/1/1971,36.30,38.1,27.9
10/1/1971,36.10,37.8,27.7
11/1/1971,35.80,37.6,27.2
12/1/1971,35.70,37.3,27.1
01/1/1972,35.60,37.2,26.9
02/1/1972,35.40,37.1,27.1
03/1/1972,35.30,36.9,26.9
04/1/1972,35.10,36.7,26.9
05/1/1972,35.00,36.5,27.0
06/1/1972,34.90,36.4,26.8
07/1/1972,34.70,36.2,26.7
08/1/1972,34.50,36.0,26.6
09/1/1972,34.40,35.9,26.5
10/1/1972,34.30,35.8,26.8
11/1/1972,34.20,35.7,26.9
12/1/1972,34.10,35.5,26.8
01/1/1973,34.00,35.4,26.4
02/1/1973,33.90,35.2,26.8
03/1/1973,33.70,35.1,26.4
04/1/1973,33.60,35.0,26.7
05/1/1973,33.50,34.9,26.4
06/1/1973,33.40,34.7,26.4
07/1/1973,33.30,34.6,26.4
08/1/1973,33.10,34.5,26.4
09/1/1973,33.10,34.4,26.4
10/1/1973,33.00,34.3,26.1
11/1/1973,33.00,34.2,26.2
12/1/1973,32.90,34.2,26.3
