date,series 1,series 2,series 3
01/1/1974,101.40,101.8,98.7
02/1/1974,101.10,101.5,99.6
03/1/1974,100.80,101.0,100.7
04/1/1974,100.40,100.5,101.3
05/1/1974,100.10,100.1,102.1
06/1/1974,99.80,99.8,101.4
07/1/1974,99.40,99.2,101.1
08/1/1974,99.20,98.9,100.5
09/1/1974,98.80,98.6,98.3
10/1/1974,98.10,98.2,94.2
11/1/1974,98.00,98.0,95.8
12/1/1974,97.90,97.6,99.1
01/1/1975,97.70,97.2,100.3
02/1/1975,98.00,97.3,102.9
03/1/1975,98.10,97.5,103.2
04/1/1975,97.70,97.2,103.3
05/1/1975,97.70,97.1,104.1
06/1/1975,97.50,96.7,104.3
07/1/1975,97.00,96.1,102.8
08/1/1975,95.90,95.4,97.8
09/1/1975,95.00,94.7,97.2
10/1/1975,94.70,93.9,103.6
11/1/1975,94.70,93.8,106.1
12/1/1975,94.40,93.3,108.2
01/1/1976,94.10,93.0,108.6
02/1/1976,93.80,92.5,109.0
03/1/1976,93.40,92.1,108.4
04/1/1976,93.10,91.8,107.7
05/1/1976,92.20,90.7,107.2
06/1/1976,91.50,89.8,107.2
07/1/1976,90.50,88.6,107.8
08/1/1976,89.70,87.8,109.0
09/1/1976,89.10,87.0,110.6
10/1/1976,88.60,86.4,113.0
11/1/1976,88.00,85.9,110.1
12/1/1976,87.20,85.4,103.6
01/1/1977,86.40,84.9,99.3
02/1/1977,85.60,83.9,98.8
03/1/1977,84.70,83.0,98.6
04/1/1977,83.90,82.1,97.8
05/1/1977,83.20,81.3,97.8
06/1/1977,82.60,80.8,97.9
07/1/1977,82.50,81.0,98.2
08/1/1977,81.70,80.1,98.7
09/1/1977,80.90,79.5,98.7
10/1/1977,80.10,78.6,99.7
11/1/1977,79.00,77.5,94.3
12/1/1977,78.00,76.7,89.8
01/1/1978,76.90,75.7,83.9
02/1/1978,76.00,74.8,81.8
03/1/1978,75.20,74.0,80.4
04/1/1978,74.40,73.3,78.8
05/1/1978,73.70,72.7,76.0
06/1/1978,73.00,71.9,72.7
07/1/1978,72.20,71.3,69.1
08/1/1978,71.40,70.8,65.3
09/1/1978,70.60,70.3,62.2
10/1/1978,69.90,69.8,59.1
11/1/1978,69.20,69.2,56.4
12/1/1978,68.50,68.5,56.0
01/1/1979,67.90,68.0,55.4
02/1/1979,67.50,67.6,54.4
03/1/1979,67.10,67.2,53.5
04/1/1979,66.50,66.7,52.6
05/1/1979,65.90,66.1,51.8
06/1/1979,65.50,65.6,51.1
07/1/1979,65.00,65.2,50.7
08/1/1979,64.50,64.7,50.5
09/1/1979,63.90,64.3,50.5
10/1/1979,63.40,63.8,50.8
11/1/1979,63.00,63.4,50.6
12/1/1979,62.70,63.1,50.9
01/1/1980,62.30,62.7,50.9
02/1/1980,62.00,62.3,50.5
03/1/1980,61.60,62.0,50.1
04/1/1980,61.30,61.8,49.6
05/1/1980,61.10,61.5,49.4
06/1/1980,60.80,61.2,49.4
07/1/1980,60.50,61.0,49.8
08/1/1980,60.20,60.6,50.1
09/1/1980,60.00,60.3,49.7
10/1/1980,59.60,60.0,49.7
11/1/1980,59.30,59.7,49.2
12/1/1980,58.70,59.3,48.5
01/1/1981,58.40,58.9,48.3
02/1/1981,58.10,58.7,48.2
03/1/1981,57.90,58.5,47.8
04/1/1981,57.60,58.2,47.2
05/1/1981,57.30,57.9,46.9
06/1/1981,57.00,57.6,46.8
07/1/1981,56.70,57.2,46.7
08/1/1981,56.40,57.0,46.1
09/1/1981,56.10,56.7,45.8
10/1/1981,56.00,56.5,46.3
11/1/1981,55.90,56.2,46.8
12/1/1981,55.80,55.9,47.1
01/1/1982,55.60,55.5,47.2
02/1/1982,55.30,55.2,47.4
03/1/1982,54.90,54.8,47.4
04/1/1982,54.60,54.5,47.0
05/1/1982,54.20,54.2,46.6
06/1/1982,54.00,54.0,46.1
07/1/1982,53.50,53.8,44.5
08/1/1982,53.10,53.5,43.5
09/1/1982,53.00,53.3,43.0
10/1/1982,52.80,53.0,43.0
11/1/1982,52.60,52.8,42.8
12/1/1982,52.30,52.3,42.8
01/1/1983,51.90,52.0,42.5
02/1/1983,51.50,51.6,42.4
03/1/1983,51.00,51.2,42.6
04/1/1983,50.60,50.7,43.3
05/1/1983,49.90,50.2,43.5
06/1/1983,49.30,49.5,43.7
07/1/1983,49.00,49.0,43.7
08/1/1983,48.60,48.5,43.6
09/1/1983,48.10,47.9,42.8
10/1/1983,47.80,47.6,42.2
11/1/1983,47.30,47.2,39.3
12/1/1983,46.80,46.9,37.2
