date,series 1,series 2,series 3
01/1/1984,146.30,154.3,95.8
02/1/1984,146.00,153.9,97.3
03/1/1984,145.60,153.4,98.7
04/1/1984,145.00,152.9,93.9
05/1/1984,144.80,152.8,95.0
06/1/1984,144.50,152.3,95.2
07/1/1984,144.30,152.1,96.5
08/1/1984,144.20,151.8,97.9
09/1/1984,143.80,151.4,99.9
10/1/1984,143.30,150.8,100.7
11/1/1984,143.10,150.6,101.5
12/1/1984,142.80,150.1,101.5
01/1/1985,142.30,149.6,101.7
02/1/1985,142.10,149.2,101.3
03/1/1985,141.70,148.8,100.8
04/1/1985,141.10,148.1,99.6
05/1/1985,140.80,147.9,99.7
06/1/1985,140.50,147.6,100.3
07/1/1985,140.10,147.1,99.8
08/1/1985,139.70,146.8,97.5
09/1/1985,139.40,146.3,96.6
10/1/1985,139.10,145.9,96.8
11/1/1985,138.60,145.4,96.5
12/1/1985,138.30,145.1,97.0
01/1/1986,138.20,144.7,98.8
02/1/1986,137.80,144.2,97.7
03/1/1986,137.20,143.7,96.8
04/1/1986,137.00,143.4,97.6
05/1/1986,136.60,142.9,97.5
06/1/1986,136.20,142.3,96.5
07/1/1986,136.00,141.8,98.2
08/1/1986,135.60,141.3,99.2
09/1/1986,135.10,140.9,97.7
10/1/1986,134.80,140.5,97.8
11/1/1986,134.80,140.2,102.5
12/1/1986,134.70,139.5,110.9
01/1/1987,134.20,138.6,117.6
02/1/1987,133.70,138.0,117.2
03/1/1987,133.40,137.6,116.9
04/1/1987,132.50,137.1,109.3
05/1/1987,131.60,136.6,100.9
06/1/1987,130.50,135.8,93.1
07/1/1987,129.90,135.1,92.6
08/1/1987,129.10,134.4,91.7
09/1/1987,128.90,134.0,92.8
10/1/1987,128.60,133.5,92.3
11/1/1987,128.00,132.7,93.0
12/1/1987,127.50,132.1,92.9
01/1/1988,126.30,131.6,86.0
02/1/1988,125.90,131.1,86.1
03/1/1988,125.40,130.6,87.8
04/1/1988,124.80,129.9,87.0
05/1/1988,124.50,129.5,89.1
06/1/1988,124.50,129.2,93.2
07/1/1988,124.10,128.8,94.0
08/1/1988,123.70,128.3,95.8
09/1/1988,123.10,127.8,93.9
10/1/1988,122.20,127.4,84.3
11/1/1988,121.60,126.9,82.6
12/1/1988,121.20,126.5,81.1
01/1/1989,120.70,126.0,80.4
02/1/1989,120.30,125.6,80.7
03/1/1989,119.90,125.2,80.7
04/1/1989,119.50,124.7,81.5
05/1/1989,119.00,124.0,82.6
06/1/1989,118.50,123.6,81.1
07/1/1989,118.00,123.2,80.0
08/1/1989,117.50,122.7,80.2
09/1/1989,117.20,122.3,80.4
10/1/1989,116.50,121.7,79.9
11/1/1989,116.20,121.2,80.7
12/1/1989,116.00,120.9,81.1
01/1/1990,115.60,120.4,81.9
02/1/1990,115.40,120.1,82.6
03/1/1990,115.00,119.8,82.5
04/1/1990,114.70,119.2,82.5
05/1/1990,114.30,118.7,83.1
06/1/1990,113.80,118.3,81.0
07/1/1990,113.50,117.9,79.4
08/1/1990,113.00,117.7,77.7
09/1/1990,112.70,117.3,79.2
10/1/1990,112.20,116.6,78.5
11/1/1990,111.80,116.2,78.4
12/1/1990,111.40,115.9,74.1
01/1/1991,110.80,115.6,69.0
02/1/1991,110.40,115.3,68.4
03/1/1991,110.20,115.0,69.1
04/1/1991,110.00,114.6,70.7
05/1/1991,109.60,114.2,68.9
06/1/1991,109.50,113.8,72.9
07/1/1991,109.40,113.4,77.9
08/1/1991,109.00,113.1,75.4
09/1/1991,108.70,112.9,74.1
10/1/1991,109.10,112.5,83.4
11/1/1991,109.70,112.2,95.6
12/1/1991,109.90,111.9,100.1
01/1/1992,109.50,111.4,99.5
02/1/1992,109.00,111.1,98.8
03/1/1992,108.50,110.5,98.1
04/1/1992,108.10,110.0,98.2
05/1/1992,107.90,109.8,98.5
06/1/1992,107.70,109.4,100.0
07/1/1992,107.50,109.1,99.7
08/1/1992,107.20,108.8,99.3
09/1/1992,107.00,108.4,99.7
10/1/1992,106.80,108.1,98.1
11/1/1992,106.30,107.7,96.6
12/1/1992,105.70,107.1,96.3
01/1/1993,105.50,106.8,95.9
02/1/1993,105.30,106.4,96.9
03/1/1993,105.10,106.2,97.3
04/1/1993,104.70,105.8,95.9
05/1/1993,104.40,105.4,95.1
06/1/1993,104.10,105.0,96.3
07/1/1993,103.70,104.5,98.2
08/1/1993,103.50,104.1,99.4
09/1/1993,103.30,103.7,99.8
10/1/1993,102.90,103.2,100.2
11/1/1993,102.60,102.8,99.4
12/1/1993,102.10,102.5,99.0
