date,series 1,series 2,series 3
01/1/1994,185.5,194.2,139.5
02/1/1994,185.0,194.0,136.2
03/1/1994,184.9,194.0,136.9
04/1/1994,185.1,193.7,146.5
05/1/1994,184.5,193.6,136.7
06/1/1994,183.7,193.4,125.1
07/1/1994,183.1,193.0,119.8
08/1/1994,182.9,192.9,119.0
09/1/1994,183.2,192.5,133.6
10/1/1994,183.9,192.5,147.3
11/1/1994,183.6,192.5,148.6
12/1/1994,182.6,192.4,137.1
01/1/1995,181.8,192.1,124.7
02/1/1995,181.5,191.9,125.1
03/1/1995,181.2,191.5,125.9
04/1/1995,180.8,191.3,120.6
05/1/1995,180.5,191.1,119.7
06/1/1995,180.0,190.5,118.5
07/1/1995,179.6,190.2,116.8
08/1/1995,179.5,190.0,116.5
09/1/1995,179.3,189.7,115.8
10/1/1995,178.5,189.2,107.8
11/1/1995,178.0,189.1,99.7
12/1/1995,177.7,188.7,100.5
01/1/1996,177.40,188.4,99.2
02/1/1996,177.50,188.1,104.1
03/1/1996,177.60,187.4,117.0
04/1/1996,178.10,187.1,130.9
05/1/1996,177.40,186.7,120.3
06/1/1996,177.40,186.4,123.0
07/1/1996,177.70,186.0,137.1
08/1/1996,177.30,185.3,140.1
09/1/1996,176.40,185.1,128.1
10/1/1996,176.10,184.7,125.6
11/1/1996,176.00,184.4,129.2
12/1/1996,175.60,183.9,130.6
01/1/1997,174.60,183.3,130.5
02/1/1997,174.20,183.1,131.8
03/1/1997,173.90,182.6,132.6
04/1/1997,173.60,182.3,134.2
05/1/1997,172.70,181.9,126.3
06/1/1997,172.70,181.5,133.7
07/1/1997,172.20,181.1,135.2
08/1/1997,171.20,180.7,123.6
09/1/1997,170.90,180.3,125.6
10/1/1997,171.00,180.0,133.2
11/1/1997,170.00,179.4,119.8
12/1/1997,169.30,179.3,115.9
01/1/1998,168.80,178.7,114.1
02/1/1998,168.40,178.4,108.5
03/1/1998,168.10,178.1,109.8
04/1/1998,167.80,177.8,109.9
05/1/1998,167.10,177.3,106.1
06/1/1998,166.70,177.1,100.7
07/1/1998,166.00,176.6,96.6
08/1/1998,166.00,176.5,97.5
09/1/1998,165.90,176.3,98.9
10/1/1998,164.80,175.7,87.7
11/1/1998,164.70,175.6,85.1
12/1/1998,164.70,175.6,86.7
01/1/1999,164.40,175.4,87.4
02/1/1999,164.10,174.8,89.4
03/1/1999,163.90,174.4,90.5
04/1/1999,163.50,174.2,89.7
05/1/1999,163.40,174.0,90.3
06/1/1999,163.20,173.5,92.3
07/1/1999,162.80,173.2,92.6
08/1/1999,162.60,172.9,91.2
09/1/1999,162.20,172.5,89.4
10/1/1999,162.00,172.2,91.7
11/1/1999,162.00,171.9,96.0
12/1/1999,162.00,171.6,99.4
01/1/2000,161.80,171.2,103.2
02/1/2000,161.70,170.8,104.4
03/1/2000,161.50,170.6,106.6
04/1/2000,161.20,170.2,108.7
05/1/2000,160.80,169.8,106.1
06/1/2000,160.40,169.7,101.2
07/1/2000,160.20,169.4,102.9
08/1/2000,159.90,169.2,101.4
09/1/2000,159.90,168.9,105.1
10/1/2000,159.80,168.4,108.6
11/1/2000,159.70,168.1,110.8
12/1/2000,159.40,167.8,110.6
01/1/2001,159.10,167.4,110.2
02/1/2001,158.70,167.2,107.2
03/1/2001,158.20,166.8,104.9
04/1/2001,157.70,166.5,104.4
05/1/2001,157.20,166.0,104.4
06/1/2001,157.00,165.7,106.1
07/1/2001,156.70,165.4,108.0
08/1/2001,156.40,165.0,109.7
09/1/2001,156.10,164.6,108.6
10/1/2001,155.50,164.4,104.0
11/1/2001,155.00,164.0,101.4
12/1/2001,154.70,163.7,101.3
01/1/2002,153.90,163.1,97.5
02/1/2002,153.70,163.0,95.8
03/1/2002,153.50,162.7,97.6
04/1/2002,153.10,162.2,98.1
05/1/2002,152.90,161.8,99.6
06/1/2002,152.60,161.4,101.2
07/1/2002,152.40,161.1,103.6
08/1/2002,152.10,160.7,101.6
09/1/2002,151.80,160.4,100.5
10/1/2002,151.20,159.9,100.2
11/1/2002,150.90,159.4,100.9
12/1/2002,150.50,159.0,100.9
01/1/2003,150.10,158.3,101.9
02/1/2003,149.80,158.2,102.1
03/1/2003,149.40,157.8,101.3
04/1/2003,149.30,157.5,101.8
05/1/2003,149.00,157.1,102.4
06/1/2003,148.40,156.7,97.8
07/1/2003,147.90,156.4,94.9
08/1/2003,147.50,155.9,93.9
09/1/2003,147.20,155.5,95.7
10/1/2003,147.10,155.3,95.8
11/1/2003,146.70,154.8,96.2
12/1/2003,146.30,154.5,94.6
