date,series 1,series 2,series 3
01/1/2004,234.719,235.759,303.304
02/1/2004,234.100,235.359,297.183
03/1/2004,233.669,234.921,295.640
04/1/2004,233.544,234.700,297.390
05/1/2004,233.456,234.336,303.409
06/1/2004,232.900,233.880,298.754
07/1/2004,232.445,233.350,298.112
08/1/2004,231.893,232.996,293.131
09/1/2004,231.797,232.832,295.206
10/1/2004,232.282,232.794,310.442
11/1/2004,232.937,232.569,329.253
12/1/2004,231.679,232.229,306.734
01/1/2005,231.221,231.725,306.338
02/1/2005,231.249,231.330,315.264
03/1/2005,231.638,231.024,332.699
04/1/2005,231.015,230.659,326.789
05/1/2005,229.918,230.233,310.365
06/1/2005,228.590,229.970,287.505
07/1/2005,228.524,229.623,291.490
08/1/2005,228.713,229.224,303.692
09/1/2005,229.187,228.905,319.414
10/1/2005,228.807,228.478,319.198
11/1/2005,228.329,228.034,316.625
12/1/2005,227.842,227.877,306.170
01/1/2006,227.223,227.405,300.662
02/1/2006,227.169,226.899,308.587
03/1/2006,226.750,226.506,305.963
04/1/2006,226.597,226.118,309.168
05/1/2006,226.106,225.862,306.276
06/1/2006,225.395,225.218,304.901
07/1/2006,224.806,224.697,304.321
08/1/2006,224.806,224.175,314.859
09/1/2006,224.093,223.727,310.115
10/1/2006,223.046,223.454,294.915
11/1/2006,221.898,223.213,280.015
12/1/2006,221.187,222.803,275.816
01/1/2007,220.472,222.343,271.509
02/1/2007,219.590,222.149,256.596
03/1/2007,219.035,221.830,249.885
04/1/2007,218.275,221.711,235.661
05/1/2007,217.923,221.509,232.674
06/1/2007,217.605,221.363,229.026
07/1/2007,217.199,221.194,222.745
08/1/2007,217.290,220.962,227.765
09/1/2007,217.403,220.822,232.594
10/1/2007,217.353,220.783,233.103
11/1/2007,217.281,220.731,235.748
12/1/2007,217.488,220.633,242.036
01/1/2008,217.347,220.881,237.235
02/1/2008,217.234,220.666,238.246
03/1/2008,216.509,220.501,228.651
04/1/2008,215.861,219.920,226.214
05/1/2008,215.445,219.496,223.781
06/1/2008,214.726,219.263,211.649
07/1/2008,214.790,219.112,213.086
08/1/2008,213.022,218.904,177.057
09/1/2008,212.709,218.706,168.312
10/1/2008,212.495,218.253,166.814
11/1/2008,212.705,217.792,174.067
12/1/2008,211.933,217.346,160.815
01/1/2009,211.398,216.925,154.377
02/1/2009,213.153,216.947,191.822
03/1/2009,216.995,216.788,278.393
04/1/2009,218.877,216.713,321.466
05/1/2009,218.690,216.393,319.114
06/1/2009,219.016,215.965,334.055
07/1/2009,217.463,215.424,321.643
08/1/2009,215.208,214.936,289.883
09/1/2009,213.942,214.560,276.563
10/1/2009,213.448,214.420,279.234
11/1/2009,212.687,213.939,277.120
12/1/2009,212.174,213.771,273.485
01/1/2010,211.445,213.168,271.805
02/1/2010,210.834,212.660,268.067
03/1/2010,209.190,212.077,246.233
04/1/2010,208.547,211.554,244.482
05/1/2010,207.667,211.119,236.401
06/1/2010,207.603,210.773,242.158
07/1/2010,207.234,210.392,241.015
08/1/2010,206.755,210.058,240.407
09/1/2010,205.904,209.747,229.338
10/1/2010,205.288,209.418,222.804
11/1/2010,204.226,209.135,208.351
12/1/2010,203.437,208.600,205.361
01/1/2011,203.1,208.1,211.3
02/1/2011,202.0,207.8,195.0
03/1/2011,201.9,207.6,197.0
04/1/2011,202.8,207.2,221.3
05/1/2011,203.8,206.8,252.7
06/1/2011,202.9,206.3,245.3
07/1/2011,201.8,205.9,228.1
08/1/2011,201.3,205.4,227.5
09/1/2011,200.7,204.8,224.0
10/1/2011,199.7,204.3,208.3
11/1/2011,199.4,203.6,210.2
12/1/2011,199.3,203.2,213.2
01/1/2012,198.1,202.8,200.4
02/1/2012,198.1,202.5,202.0
03/1/2012,199.1,202.0,239.1
04/1/2012,198.8,201.3,251.0
05/1/2012,196.1,201.1,211.3
06/1/2012,194.9,200.9,190.6
07/1/2012,193.7,200.6,173.0
08/1/2012,193.6,200.5,171.9
09/1/2012,193.7,200.2,180.8
10/1/2012,193.1,200.1,177.5
11/1/2012,192.4,199.4,173.4
12/1/2012,191.6,199.0,166.9
01/1/2013,191.7,198.6,176.0
02/1/2013,191.7,198.3,179.2
03/1/2013,190.8,197.9,172.7
04/1/2013,189.8,197.5,161.3
05/1/2013,189.2,196.9,157.6
06/1/2013,189.1,196.8,158.2
07/1/2013,188.9,196.6,160.3
08/1/2013,188.2,196.2,154.6
09/1/2013,187.4,195.9,147.2
10/1/2013,187.1,195.5,151.2
11/1/2013,186.7,194.9,151.0
12/1/2013,186.3,194.6,148.3
