date,series 1,series 2,series 3
01/1/2014,308.742,313.209,303.242
02/1/2014,308.024,312.349,304.982
03/1/2014,307.531,311.390,317.678
04/1/2014,307.288,310.644,332.019
05/1/2014,306.187,309.656,326.825
06/1/2014,304.628,308.945,301.784
07/1/2014,304.003,308.245,302.412
08/1/2014,303.365,307.646,300.042
09/1/2014,303.032,306.539,314.286
10/1/2014,301.744,305.112,305.708
11/1/2014,301.509,304.124,316.804
12/1/2014,300.356,302.709,313.215
01/1/2015,298.812,301.423,308.222
02/1/2015,298.648,300.292,333.999
03/1/2015,297.863,299.351,335.141
04/1/2015,296.341,298.284,322.713
05/1/2015,295.209,296.569,339.037
06/1/2015,294.977,295.055,378.082
07/1/2015,294.996,293.972,411.984
08/1/2015,291.359,292.072,373.180
09/1/2015,288.764,290.515,358.023
10/1/2015,287.553,289.041,370.978
11/1/2015,284.535,288.287,322.941
12/1/2015,282.390,286.811,307.114
01/1/2016,280.808,285.221,312.089
02/1/2016,278.799,283.393,302.783
03/1/2016,276.434,281.623,284.966
04/1/2016,273.887,279.710,273.321
05/1/2016,272.789,278.993,270.649
06/1/2016,271.994,278.612,263.835
07/1/2016,270.664,277.585,257.683
08/1/2016,268.452,275.494,251.062
09/1/2016,266.752,273.665,249.270
10/1/2016,264.910,271.461,251.459
11/1/2016,263.583,270.813,233.448
12/1/2016,262.518,270.422,217.944
01/1/2017,262.005,270.340,207.640
02/1/2017,260.895,269.967,191.456
03/1/2017,260.249,269.280,190.486
04/1/2017,259.951,268.900,192.669
05/1/2017,259.366,268.390,190.490
06/1/2017,258.408,267.373,186.943
07/1/2017,257.004,265.839,177.312
08/1/2017,255.848,265.461,160.740
09/1/2017,256.126,265.796,166.640
10/1/2017,258.150,267.068,206.071
11/1/2017,259.246,267.402,229.731
12/1/2017,258.906,266.698,236.879
01/1/2018,258.630,266.020,244.197
02/1/2018,257.879,265.548,236.924
03/1/2018,257.155,264.970,232.348
04/1/2018,256.430,264.388,228.230
05/1/2018,256.036,263.877,229.734
06/1/2018,255.802,263.280,235.098
07/1/2018,255.213,262.739,231.691
08/1/2018,255.296,262.217,242.557
09/1/2018,255.233,261.997,245.651
10/1/2018,254.277,261.567,230.013
11/1/2018,253.319,261.186,217.237
12/1/2018,252.561,260.766,208.730
01/1/2019,252.767,260.063,225.063
02/1/2019,252.594,259.439,238.309
03/1/2019,252.772,258.917,253.471
04/1/2019,252.182,258.368,250.369
05/1/2019,251.663,257.891,246.229
06/1/2019,251.214,257.699,241.377
07/1/2019,251.018,257.399,243.105
08/1/2019,250.792,257.145,242.344
09/1/2019,250.227,256.630,238.803
10/1/2019,249.577,256.271,231.325
11/1/2019,249.529,255.711,239.767
12/1/2019,248.859,255.204,235.325
01/1/2020,247.805,254.344,228.888
02/1/2020,247.284,253.816,228.908
03/1/2020,246.626,253.526,218.990
04/1/2020,246.435,252.812,228.252
05/1/2020,245.183,252.535,203.585
06/1/2020,244.243,251.985,191.889
07/1/2020,244.163,251.746,195.797
08/1/2020,244.004,251.430,197.848
09/1/2020,244.193,251.227,209.074
10/1/2020,243.892,250.944,210.690
11/1/2020,244.006,250.998,213.626
12/1/2020,243.618,250.467,217.892
01/1/2021,242.637,249.920,206.244
02/1/2021,242.026,249.481,199.220
03/1/2021,241.741,249.142,197.788
04/1/2021,241.176,248.842,189.766
05/1/2021,240.545,248.423,183.715
06/1/2021,240.101,247.829,185.486
07/1/2021,240.222,247.540,196.440
08/1/2021,239.557,247.137,187.627
09/1/2021,238.992,246.551,184.762
10/1/2021,238.080,245.913,175.164
11/1/2021,237.336,245.510,162.727
12/1/2021,237.652,244.955,181.445
01/1/2022,237.761,244.547,190.765
02/1/2022,238.017,244.241,198.984
03/1/2022,237.733,243.768,199.315
04/1/2022,237.498,243.316,201.935
05/1/2022,238.033,242.817,225.725
06/1/2022,238.034,242.565,231.775
07/1/2022,237.657,242.064,230.871
08/1/2022,237.001,241.688,225.281
09/1/2022,236.222,241.346,211.577
10/1/2022,235.976,240.755,214.684
11/1/2022,235.342,240.172,206.901
12/1/2022,234.747,239.811,199.553
01/1/2023,236.252,239.584,238.491
02/1/2023,236.983,239.458,262.282
03/1/2023,237.430,239.191,278.463
04/1/2023,237.477,238.786,287.003
05/1/2023,237.460,238.405,294.803
06/1/2023,237.498,238.195,299.785
07/1/2023,237.231,237.837,302.293
08/1/2023,236.918,237.529,301.296
09/1/2023,236.468,237.072,305.367
10/1/2023,236.028,236.625,300.141
11/1/2023,235.547,236.185,305.007
12/1/2023,235.288,235.961,308.400
