,date,series 1,series 2,series 3
0,01/1/1967,46.3,46.7,35.2
1,02/1/1967,45.9,46.5,33.7
2,03/1/1967,45.6,46.3,32.2
3,04/1/1967,45.2,46.0,30.8
4,05/1/1967,45.0,45.7,31.0
5,06/1/1967,44.2,45.5,31.0
6,07/1/1967,44.2,45.4,31.1
7,08/1/1967,43.9,45.3,30.4
8,09/1/1967,43.7,45.1,30.2
9,10/1/1967,43.4,45.0,29.7
10,11/1/1967,43.0,44.8,29.6
11,12/1/1967,42.7,44.6,29.4
12,01/1/1968,42.5,44.6,29.3
13,02/1/1968,42.4,44.4,29.3
14,03/1/1968,42.2,44.4,29.1
15,04/1/1968,42.1,44.3,29.0
16,05/1/1968,41.9,44.3,28.4
17,06/1/1968,41.8,44.1,28.0
18,07/1/1968,41.7,44.0,27.8
19,08/1/1968,41.6,43.9,28.0
20,09/1/1968,41.5,43.8,27.8
21,10/1/1968,41.4,43.6,28.1
22,11/1/1968,41.4,43.6,28.1
23,12/1/1968,41.2,43.5,28.3
24,01/1/1969,41.1,43.3,28.5
25,02/1/1969,41.0,43.2,28.4
26,03/1/1969,40.9,43.1,28.7
27,04/1/1969,40.8,43.0,28.6
28,05/1/1969,40.7,43.0,28.4
29,06/1/1969,40.6,42.9,27.3
30,07/1/1969,40.5,42.8,27.7
31,08/1/1969,40.3,42.6,27.5
32,09/1/1969,40.1,42.4,27.5
33,10/1/1969,40.0,42.2,27.9
34,11/1/1969,39.9,42.2,28.2
35,12/1/1969,39.9,42.1,28.5
36,01/1/1970,39.8,42.0,28.4
37,02/1/1970,39.6,41.8,28.2
38,03/1/1970,39.4,41.5,28.1
39,04/1/1970,39.2,41.3,27.7
40,05/1/1970,39.0,41.1,27.5
41,06/1/1970,38.9,40.9,28.0
42,07/1/1970,38.8,40.8,27.8
43,08/1/1970,38.6,40.5,28.1
44,09/1/1970,38.5,40.4,28.3
45,10/1/1970,38.3,40.1,27.2
46,11/1/1970,38.1,39.8,27.8
47,12/1/1970,37.9,39.6,27.6
48,01/1/1971,37.7,39.4,27.7
49,02/1/1971,37.5,39.2,27.5
50,03/1/1971,37.3,39.1,27.8
51,04/1/1971,37.1,38.9,27.7
52,05/1/1971,36.9,38.7,27.8
53,06/1/1971,36.8,38.5,27.8
54,07/1/1971,36.6,38.3,28.0
55,08/1/1971,36.4,38.1,27.8
56,09/1/1971,36.3,38.1,27.9
57,10/1/1971,36.1,37.8,27.7
58,11/1/1971,35.8,37.6,27.2
59,12/1/1971,35.7,37.3,27.1
60,01/1/1972,35.6,37.2,26.9
61,02/1/1972,35.4,37.1,27.1
62,03/1/1972,35.3,36.9,26.9
63,04/1/1972,35.1,36.7,26.9
64,05/1/1972,35.0,36.5,27.0
65,06/1/1972,34.9,36.4,26.8
66,07/1/1972,34.7,36.2,26.7
67,08/1/1972,34.5,36.0,26.6
68,09/1/1972,34.4,35.9,26.5
69,10/1/1972,34.3,35.8,26.8
70,11/1/1972,34.2,35.7,26.9
71,12/1/1972,34.1,35.5,26.8
72,01/1/1973,34.0,35.4,26.4
73,02/1/1973,33.9,35.2,26.8
74,03/1/1973,33.7,35.1,26.4
75,04/1/1973,33.6,35.0,26.7
76,05/1/1973,33.5,34.9,26.4
77,06/1/1973,33.4,34.7,26.4
78,07/1/1973,33.3,34.6,26.4
79,08/1/1973,33.1,34.5,26.4
80,09/1/1973,33.1,34.4,26.4
81,10/1/1973,33.0,34.3,26.1
82,11/1/1973,33.0,34.2,26.2
83,12/1/1973,32.9,34.2,26.3
84,01/1/1974,101.4,101.8,98.7
85,02/1/1974,101.1,101.5,99.6
